Start Date,01/01/2000,,,
End Date,,,,
,,,,
,AVMN NA Equity,,SPEUVLI LX Equity,
,Total Return Index (Gross Dividends),Last Price,Total Return Index (Gross Dividends),Last Price
Dates,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST
11/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/05/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/06/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/07/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/08/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/09/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/10/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/11/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/12/2001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/01/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/02/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/03/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/04/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
24/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
25/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
31/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
01/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
07/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
08/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
14/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
15/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
20/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
21/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
23/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
27/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
30/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
03/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
06/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
09/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
13/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
16/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
17/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
18/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
